Title,Price (£),Rating,Availability,Link
Counted With the Stars (Out from Egypt #1),17.97,5,In stock,https://books.toscrape.com/counted-with-the-stars-out-from-egypt-1_463/index.html
The Hobbit (Middle-Earth Universe),17.8,5,In stock,https://books.toscrape.com/the-hobbit-middle-earth-universe_447/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,In stock,https://books.toscrape.com/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
Pride and Prejudice,19.27,4,In stock,https://books.toscrape.com/pride-and-prejudice_437/index.html
The Secret Garden,15.08,4,In stock,https://books.toscrape.com/the-secret-garden_413/index.html
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,In stock,https://books.toscrape.com/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
The Darkest Corners,11.33,5,In stock,https://books.toscrape.com/the-darkest-corners_399/index.html
Shiver (The Wolves of Mercy Falls #1),16.23,5,In stock,https://books.toscrape.com/shiver-the-wolves-of-mercy-falls-1_392/index.html
Kill the Boy Band,15.52,5,In stock,https://books.toscrape.com/kill-the-boy-band_381/index.html
Booked,17.49,5,In stock,https://books.toscrape.com/booked_365/index.html
An Abundance of Katherines,10.0,5,In stock,https://books.toscrape.com/an-abundance-of-katherines_362/index.html
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,In stock,https://books.toscrape.com/a-feast-for-crows-a-song-of-ice-and-fire-4_357/index.html
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,In stock,https://books.toscrape.com/the-gunning-of-america-business-and-the-making-of-american-gun-culture_347/index.html
Some Women,13.73,5,In stock,https://books.toscrape.com/some-women_341/index.html
Outlander (Outlander #1),19.67,5,In stock,https://books.toscrape.com/outlander-outlander-1_338/index.html
Night Shift (Night Shift #1-20),12.75,4,In stock,https://books.toscrape.com/night-shift-night-shift-1-20_335/index.html
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,In stock,https://books.toscrape.com/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html
Scarlet (The Lunar Chronicles #2),14.57,4,In stock,https://books.toscrape.com/scarlet-the-lunar-chronicles-2_218/index.html
Running with Scissors,12.91,4,In stock,https://books.toscrape.com/running-with-scissors_215/index.html
Ready Player One,19.07,4,In stock,https://books.toscrape.com/ready-player-one_209/index.html
Green Eggs and Ham (Beginner Books B-16),10.79,4,In stock,https://books.toscrape.com/green-eggs-and-ham-beginner-books-b-16_165/index.html
Fifty Shades Freed (Fifty Shades #3),15.36,5,In stock,https://books.toscrape.com/fifty-shades-freed-fifty-shades-3_156/index.html
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,In stock,https://books.toscrape.com/disrupted-my-misadventure-in-the-start-up-bubble_148/index.html
A Visit from the Goon Squad,14.08,5,In stock,https://books.toscrape.com/a-visit-from-the-goon-squad_117/index.html
New Moon (Twilight #2),12.86,4,In stock,https://books.toscrape.com/new-moon-twilight-2_105/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,In stock,https://books.toscrape.com/fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,In stock,https://books.toscrape.com/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
The Zombie Room,19.69,5,In stock,https://books.toscrape.com/the-zombie-room_87/index.html
The Silent Wife,12.34,5,In stock,https://books.toscrape.com/the-silent-wife_83/index.html
The Girl You Lost,12.29,5,In stock,https://books.toscrape.com/the-girl-you-lost_66/index.html
The Edge of Reason (Bridget Jones #2),19.18,4,In stock,https://books.toscrape.com/the-edge-of-reason-bridget-jones-2_63/index.html
A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,https://books.toscrape.com/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
